market_date_sec,tradingDay,time,product,symbol,open,high,low,close,last,volume,oi,askPrice1,bidPrice1,askVolume1,bidVolume1,limitUp,limitDown,factor,UTC
2022-05-20 10:10:12,2022-05-20,2022-05-20 10:10:12.474,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21595,29115,3420.5,3418.5,1,1,3834.0,2834.0,1.0,2022-05-19 21:10:12
2022-05-20 10:10:13,2022-05-20,2022-05-20 10:10:13.645,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.5,21596,29115,3421.5,3418.5,3,1,3834.0,2834.0,1.0,2022-05-19 21:10:13
2022-05-20 10:10:14,2022-05-20,2022-05-20 10:10:14.715,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.5,21598,29115,3420.5,3419.0,1,1,3834.0,2834.0,1.0,2022-05-19 21:10:14
2022-05-20 10:10:15,2022-05-20,2022-05-20 10:10:15.964,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.5,21598,29115,3420.5,3419.0,2,1,3834.0,2834.0,1.0,2022-05-19 21:10:15
2022-05-20 10:10:17,2022-05-20,2022-05-20 10:10:17.466,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3419.0,21601,29113,3420.5,3419.0,3,10,3834.0,2834.0,1.0,2022-05-19 21:10:17
2022-05-20 10:10:18,2022-05-20,2022-05-20 10:10:18.567,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3419.0,21601,29113,3420.5,3419.0,3,1,3834.0,2834.0,1.0,2022-05-19 21:10:18
2022-05-20 10:10:20,2022-05-20,2022-05-20 10:10:20.466,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3419.0,21601,29113,3420.0,3418.5,1,1,3834.0,2834.0,1.0,2022-05-19 21:10:20
2022-05-20 10:10:21,2022-05-20,2022-05-20 10:10:21.662,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3419.0,21601,29113,3420.0,3418.5,1,1,3834.0,2834.0,1.0,2022-05-19 21:10:21
2022-05-20 10:10:22,2022-05-20,2022-05-20 10:10:22.964,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.5,21605,29113,3420.0,3418.5,1,1,3834.0,2834.0,1.0,2022-05-19 21:10:22
2022-05-20 10:10:24,2022-05-20,2022-05-20 10:10:24.649,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.5,21606,29114,3418.5,3418.0,1,3,3834.0,2834.0,1.0,2022-05-19 21:10:24
2022-05-20 10:10:25,2022-05-20,2022-05-20 10:10:25.638,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.5,21607,29115,3420.5,3418.0,3,4,3834.0,2834.0,1.0,2022-05-19 21:10:25
2022-05-20 10:10:26,2022-05-20,2022-05-20 10:10:26.213,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.5,21608,29116,3420.5,3418.0,2,4,3834.0,2834.0,1.0,2022-05-19 21:10:26
2022-05-20 10:10:27,2022-05-20,2022-05-20 10:10:27.106,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.5,21608,29116,3420.5,3418.5,2,1,3834.0,2834.0,1.0,2022-05-19 21:10:27
2022-05-20 10:10:28,2022-05-20,2022-05-20 10:10:28.165,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.5,21610,29116,3422.0,3419.0,1,1,3834.0,2834.0,1.0,2022-05-19 21:10:28
2022-05-20 10:10:29,2022-05-20,2022-05-20 10:10:29.467,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.5,21613,29117,3421.5,3419.0,2,2,3834.0,2834.0,1.0,2022-05-19 21:10:29
2022-05-20 10:10:30,2022-05-20,2022-05-20 10:10:30.629,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.5,21613,29117,3422.0,3419.5,1,1,3834.0,2834.0,1.0,2022-05-19 21:10:30
2022-05-20 10:10:33,2022-05-20,2022-05-20 10:10:33.712,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.5,21613,29117,3422.0,3420.0,1,1,3834.0,2834.0,1.0,2022-05-19 21:10:33
